name,player_id,guild_name,guild_id,points_change,battles_change,era,points,battles
SuSahne die ZuckerSüße,7109674,Force of Nature,21629,448559,75,SpaceAgeAsteroidBelt,256317970,48414
Kitpet die Mächtigen,851326001,🐉DragonRocker🏴‍☠️,7226,105232,30,SpaceAgeMars,256059644,89342
IRRRIS,10143151,Fix und Foxi,1528,658521,73,SpaceAgeSpaceHub,255959782,32884
Gerry der Fuchs,852495733,,,0,0,ArcticFuture,255830837,101754
LizzardC7,679820,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,1883164,377,ArcticFuture,255353661,60438
Ansibar 49 der Jäger,3069926,Freigeist,22,128995,33,SpaceAgeSpaceHub,255305284,43175
Bray Firefly,3836139,Firefly Funhouse,24018,0,0,SpaceAgeMars,255100572,79912
Einhörn1,850990069,Klein aber gemein^^,24078,323464,95,FutureEra,255091227,164323
talofa,8191790,Cree,22432,100475,0,SpaceAgeSpaceHub,255074488,41437
Kiekilein,850130798,Horde der Hanse,14972,1854375,0,ContemporaryEra,255043737,18630
Aratorns,2592886,Das schwarze Auge,124,355855,18,SpaceAgeSpaceHub,255010347,21055
Freiherr zu Sommerein,2842016,Dorf bei der Leitha,20723,0,0,SpaceAgeJupiterMoon,255004571,46736
buschi12,10069083,,,0,0,OceanicFuture,254947038,131263
Heini V.,6344250,Restroom,5603,196042,1,SpaceAgeSpaceHub,254864490,20804
HiBonn,8801417,☠️NeverNight☠️,10520,1116739,235,OceanicFuture,254502626,100164
Topgun der flieger,2476058,Fix und Foxi,1528,0,0,SpaceAgeSpaceHub,254331239,17525
Ms Terry,2841437,The Dark Side,9607,0,0,SpaceAgeTitan,254233914,38787
BouSalen,10040702,🐉DR Resort🏴‍☠️,4584,2129260,517,SpaceAgeMars,254216143,63782
Kath-Mom-Du,3797391,Carolus Magnus,12592,2228741,434,FutureEra,254200371,122101
Tumlech,355579,,,0,0,SpaceAgeMars,253923812,97495
DomiKumbela,851198995,,,0,0,ArcticFuture,253879119,96759
.Hule.,7331561,,,0,0,SpaceAgeAsteroidBelt,253633934,97549
Alpha999,3564989,,,0,0,SpaceAgeVenus,253512754,70213
Theodora 1527 die Weiße,7714725,Time out 2023,23593,0,0,SpaceAgeVenus,253377219,51863
FriedaTG,849966866,Die Bruderschaft,10326,448498,190,FutureEra,253365914,211523
mabeck,8657682,Originals / Urlaub,12967,281140,55,ArcticFuture,253107695,131953
RächerGuts98156,850812820,die wilden Füchse,5298,0,0,SpaceAgeSpaceHub,253073375,31951
balu1946,2074620,balu,20082,51302,12,SpaceAgeSpaceHub,253003333,28708
Rodgauner,8224381,Roddy`s  Welt,25027,351950,82,PostModernEra,252774912,126557
rondo78,9497287,Kleriker,5851,174882,16,SpaceAgeSpaceHub,252754763,34604
Graf von Ringgenberg,850279174,Mosel Götter,18118,250035,38,SpaceAgeSpaceHub,252550600,26551
slabo,850573746,D. Unerschrockenenᵁᴬ,13198,989545,194,FutureEra,252474620,90699
Horst der Zweite,849689008,Unantastbar,6619,68323,14,SpaceAgeSpaceHub,252237793,24861
*The Fury*,208050,,,0,0,SpaceAgeJupiterMoon,252045933,83784
HauptsacheBlau,4533502,Hessian Dragons,109,126482,6,SpaceAgeSpaceHub,252031893,26322
Garulf,851827599,Cree,22432,333738,201,ModernEra,252011862,183614
prime24,5585579,Horde 🕊🇺🇦,3441,0,0,ArcticFuture,251956781,107065
Mrs *X*,2334815,★✰ Apokalypse © ✰★,1922,0,0,SpaceAgeVenus,251866696,49846
Siena Dumwibrod,853161551,Verpflichtungslos,15784,1970583,999,ContemporaryEra,251720268,156408
Sir Zier.,849973706,✴ChillOut🔱,20520,329765,73,SpaceAgeSpaceHub,251523819,26536
Appolonia 3695 die Löwin,6380639,Hardcore Worldwide,1340,897387,48,SpaceAgeTitan,251393152,40724
tv01,6676116,Zweitwohnsitz,6937,348180,33,SpaceAgeSpaceHub,251307349,21099
Schiebe IV,3615418,,,0,0,SpaceAgeVenus,251215710,56028
Maro der Große,849054826,Der neue Anfang,25134,356480,0,SpaceAgeSpaceHub,251178752,23260
Flagge,8462848,,,56625,0,SpaceAgeAsteroidBelt,251036037,81306
Germanikus2019,8861910,🌟Gilead🌟,3165,171069,2,OceanicFuture,250996351,38967
Sunny die Verstrahlte,10634334,Woodys Bierstube,14569,0,0,SpaceAgeMars,250991413,102523
Leontius der Retter,850040460,Monty`s Compañeros,9974,304805,32,SpaceAgeJupiterMoon,250955023,31544
Justina 1467 die Tapfere,10258611,Fairy Trade,68,0,0,SpaceAgeSpaceHub,250915254,28634
Marc de la Croix,849463589,🌳Wir sind Groot🌳,16619,0,0,SpaceAgeVenus,250910808,70846
321-321,852346230,Hallo Gilde,23321,1120717,225,SpaceAgeAsteroidBelt,250783805,86993
Raphonelius,9109974,Toy of Kick,24716,0,0,FutureEra,250741330,141499
Jöppi die Großzügig,8635439,RuStaG  1913,2193,0,0,SpaceAgeSpaceHub,250656970,29957
rgpp,2479467,Spaß und Ruhe,23609,0,0,SpaceAgeTitan,250535806,31546
cartan,850738808,FGB🌹,21516,683042,453,ContemporaryEra,250465961,182091
Iphy,8520344,Die Relaxten,7643,177647,34,SpaceAgeAsteroidBelt,250329669,74006
Graf00Koks,3407245,,,0,0,SpaceAgeVenus,250150371,51034
Schaefer67,3600516,Fröhlicher Untergang,904,0,0,SpaceAgeSpaceHub,249979113,38353
Meowmeowfuzzyface1,2781104,schweiz ueli,22326,0,0,SpaceAgeVenus,249950875,52956
S. Longus,8826090,,,0,0,TomorrowEra,249876088,359025
singapurmic,851764760,,,0,0,SpaceAgeSpaceHub,249872094,41509
Asmun,849984331,36 Strategeme 2,14985,272932,97,ArcticFuture,249855124,105271
Livia M.,8409663,Spaß und Handel,12794,176829,148,ColonialAge,249853753,158289
Trokares,4043951,,,0,0,SpaceAgeTitan,249398481,34830
djay33,10352989,die sanftmütigen,1047,648755,380,ModernEra,249151813,270102
Altbierlöwe,3138105,,,0,0,SpaceAgeJupiterMoon,248871617,53882
Breugel,851344444,Die Händler,1661,1554228,140,ArcticFuture,248764901,116812
Caromet,7627886,,,0,0,SpaceAgeTitan,248739025,100735
Gaius Iulius C.,9609531,,,0,0,SpaceAgeJupiterMoon,248629192,79480
LadyOM,5416855,,,0,0,SpaceAgeTitan,248026389,45980
laggy,8342103,,,1595280,8,SpaceAgeSpaceHub,247928695,13784
