name,player_id,guild_name,guild_id,points,battles
Pauline 28 die Weise,5433426,Rising Crown,3780,3308343797,704062
Sadutrail,8511621,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,3307759320,359244
Bergium66,850009800,🐉DragonRocker🏴‍☠️,7226,3299658227,838915
Sparthacus,9973514,FunFighters,3537,3285562150,655747
Xilef13,9061054,Originals / Urlaub,12967,3284755570,588673
Anton VGG König,5771649,Sachsen Fighters🇺🇦,2198,3282211960,539602
Flavius 138 der Erbauer,3214224,🔥 Feuersterne ⭐️,13890,3282114997,547182
Sneeker123321,2338058,Only Ronin`s,17616,3276526403,538371
Ernstl12,8525027,🥇 Neuaufsteher 🥇,12806,3274236408,851388
Thorys,3746579,Ancients,12870,3263762611,712288
.Sven.,6872242,AktivLockerFair,1692,3260477917,684319
Norbertus2901,3371698,Frei und Freundlich,11817,3257558303,816315
YeHu,10385961,ZzzZzz,25679,3254727780,624076
Olaf der Erste,8857336,Kommune,5397,3241208328,481504
Schmitty Dragon,9270559,Only Ronin`s,17616,3239083504,498240
Micro 72,1939450,,,3235233861,729093
Yhobarbie de Kleene,850359309,Dragon Riders,159,3229031583,508023
Ralph reichts,404586,Die Flitzpiepen 🦄,20795,3219933992,733551
Domitian 914 der Weise,10640068,D. Unerschrockenenᵁᴬ,13198,3216270116,661866
Publiusplus,2943115,Astra 💫 Australis,20187,3213404371,717982
NewBorn Eisi,850523132,Yggdrasil,10153,3200299890,623314
Xarree,8848009,Force of Nature,21629,3196557660,579532
Carl.,6160819,Helden der Birne,5088,3192415061,695101
Daniel v. Sachsen,5168024,🐍🐍Königskobra🐍🐍,24671,3192385936,735336
Mongfinn,3965587,Horde 🕊🇺🇦,3441,3179923779,584219
Frankieboy3,850099815,Die Flitzpiepen 🦄,20795,3142751448,551703
West117,852286061,Kommune,5397,3140629953,542096
alterFreund,8213888,,,3137557102,909826
Chris..,5583237,🥇 Neuaufsteher 🥇,12806,3135471634,549876
Jago der sieger,850786388,Black Phönix,17642,3133762434,664502
Honorius 352 der Gnädige,4640960,Die Händler,1661,3123497415,571259
Grognak1317,9844825,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,3119207240,295722
Roxana*,849786488,Only Ronin`s,17616,3119081315,708721
Cofrile,5128217,,,3110640862,540335
Leantra die Starke,4732781,𝖁𝖆𝖑𝖍𝖆𝖑𝖑𝖆,22349,3110419413,613993
mctim66,850221936,Insane Guardians,18918,3106943120,627798
MankeRayder,4459305,🐉DragonRocker🏴‍☠️,7226,3100368255,553093
Lady Miii,9879387,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,3098114837,470387
Hondo109,4292365,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,3096436536,551452
Dhingkis,8087623,Only Ronin`s,17616,3089495598,437540
Cadvilla99,3376760,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,3089133745,476056
HiHo2,10476191,🥇 Neuaufsteher 🥇,12806,3077648739,612137
Darth Banee,849089349,KEIN STRESS 🏖,14466,3059332512,490739
Uranius die Gnädige,4801659,🐉DragonRocker🏴‍☠️,7226,3058776309,561518
Shaft726,9962878,Frei und Freundlich,11817,3056561523,574258
Urania 720 die Retterin,7475826,Neu-Drachenfels,11825,3035194760,598225
*Kriegerin*,2692003,Rising Island 🏝,8070,3028237963,719303
Toabme,3085527,🐉DragonRocker🏴‍☠️,7226,3026648350,434236
King Lui der 12.,2709870,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,3017582768,568856
erich6,7977640,RELIC HUNTERS,2803,3003918003,586209
Asti.,7523625,Black Phönix,17642,2998327136,490791
Wartus the one and only,3275277,,,2991997841,918549
Gerd der Huldvolle,850298646,ρℓαуιηg αηgєℓѕ,92,2990236797,531461
*Purzel*,9584083,Rising Crown,3780,2988627392,626053
Fritzi61,10315869,Outsiders,343,2988593040,495148
*Inka*,850461871,FunFighters,3537,2979564060,789709
Gunnar Hamundarsson,849262617,Black Phönix,17642,2972466320,499557
Gantenkiel,9502040,,,2967869392,797853
Mellox72,7931648,,,2967467996,662944
Hans der Graubart,2347105,Shadow Hunter,17937,2964360870,590679
Haethere,851504672,(Just for fun),6733,2955655947,400219
RaDuVanderbau,4494167,Die Flitzpiepen 🦄,20795,2946307789,514561
fp99,5914236,🥇 Neuaufsteher 🥇,12806,2935461933,559842
RenardCilius,850419882,🐉DragonRocker🏴‍☠️,7226,2928225537,509734
Kallisto 2409 der Weiße,9727376,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,2926053578,458232
Murkelbauer,7053507,ρℓαуιηg αηgєℓѕ,92,2924376871,381317
spyro40,8854095,Rising Crown,3780,2913141083,543042
Incantator,5666003,Next Generation,16,2912952984,475940
Maria die Glorreiche 17,3314383,Next Generation,16,2909108504,469308
Dragen2010,7934757,🥇 Neuaufsteher 🥇,12806,2906456731,507095
Bauglir,8925238,Outsiders,343,2905963403,338753
MonaLisa1999,10588569,🥇 Neuaufsteher 🥇,12806,2903744692,482408
Hexe1667,6868884,Spirit of Herkules,21272,2901873958,433050
Koelsch,8569817,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,2901414537,607878
Goldener Schnatz,9939872,🥇 Neuaufsteher 🥇,12806,2897787587,459513
Lyane,851115913,Force of Nature,21629,2896543494,548063
Amicus 10,848952290,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,2895868135,436888
tom7165,6778731,Die GEXperten,4314,2894822044,541537
4ng3l*,2692363,🐉DragonRocker🏴‍☠️,7226,2892252468,704513
Inquisitor 13,850540037,Black Phönix,17642,2890783006,615326
infernobavaria,10123708,Rising Crown,3780,2888129825,1272306
Tamacti Jun,3609709,Spirit of Herkules,21272,2878348633,436864
Andy 2018,6771402,Kommune,5397,2860733392,383972
Garhol,9733813,Hessian Dragons,109,2853604087,534409
.Dennis.,849641892,🕊 Grenzgänger 🕊,12219,2849882084,695413
11Herby11,4630721,Preußen Gilde,4921,2845750692,402676
Snikers der Große,8887812,Nordische Union,12521,2838730607,509353
HeiligerHilde,4508440,🐉DragonRocker🏴‍☠️,7226,2835332615,679406
Coban der Große,5463507,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,2828959636,379742
Venthura,2944881,FunFighters,3537,2828512351,605081
TheDad,2890065,Only Ronin`s,17616,2826143136,471840
Andre94481,6254754,Health Care,24882,2824457166,520940
Lilo der Weise,850002931,🥇 Neuaufsteher 🥇,12806,2815587922,471273
menkaure101,4711926,Black Phönix,17642,2810381950,307424
Maro der Tapfere,9896314,Weisse Rose,6843,2807764423,827369
Neverforget,10082516,Helden der Birne,5088,2806175432,500100
Brutus 777 der Tapfere,850626576,Verpflichtungslos,15784,2798884147,637442
AlterEgo,5959856,Fluffige Mammuts🦣🦣,7139,2797371872,572915
Thorsten 001,2926322,Hamburger Hanse,8586,2796104047,406465
paskro,503608,Next Generation,16,2792387214,492542
Leni .,2347823,Outsiders,343,2775852880,528276
Sven Schönhaar,10275828,🇩🇪Blaues Licht🇩🇪,24050,2772799981,576350
Luis 16th,8206047,🥇 Neuaufsteher 🥇,12806,2760498812,376027
Lolekti,2747291,FunFighters,3537,2754104448,439661
ReviH,6555343,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,2747342484,434842
Rex Regina,5362731,Force of Nature,21629,2744776559,495766
VOB.,7769905,RELIC HUNTERS,2803,2737183847,661429
Schlabotz,9718939,🥇 Neuaufsteher 🥇,12806,2737000184,628997
MoxoM,5264439,FunFighters,3537,2735627131,625884
.Kampfkeks.,2377922,🐉DragonRocker🏴‍☠️,7226,2732181676,580249
boldlady,7761883,Only Ronin`s,17616,2729859771,423064
Arminius der Gerechte,8472086,Die Flitzpiepen 🦄,20795,2727882342,559880
Euphorisma,6543751,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,2724151475,541684
Big Haakon,9352462,Only Ronin`s,17616,2719961676,553129
Branwen,4709757,FunFighters,3537,2713706699,267190
Jens2 der Eroberer,5901750,Weisse Rose,6843,2713484706,600042
CharliM,4574103,🌳grüner Hirsch🌳,8112,2708402166,408008
Grindwal,8726904,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,2706824640,622755
Bruno der Gute,403676,ρℓαуιηg αηgєℓѕ,92,2699323950,488714
Fiete HH,2323023,,,2699260805,646425
Isabella -,10212547,🥇 Neuaufsteher 🥇,12806,2698021941,387577
Niko138,3399205,Rising Crown,3780,2692025007,671781
Atum-Re,849620563,Only Ronin`s,17616,2690690361,293157
Hokuspokus 2,10092883,Knights of Asgard,6,2690195273,490822
Jayjay78,10195876,Black Phönix,17642,2685281685,438231
Reisender Johnny,9201342,Only Ronin`s,17616,2684876369,686593
Michael 57,924843,🥇 Neuaufsteher 🥇,12806,2683277078,493516
LadyCindy,9550132,👑 Annodazumal 👑,4103,2682933086,404219
Graf Vlad I,10496694,🐉DragonRocker🏴‍☠️,7226,2677137913,439991
Ancaria,850992526,KEIN STRESS 🏖,14466,2674587709,421102
Andy 145,2711221,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,2673714441,446281
Minoxi,849965628,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,2668573188,430948
Mäc Thosch,850574858,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,2666476832,401629
Grohler67,8021932,Astra 💫 Australis,20187,2665101481,470196
Justina 554 die Stolze,5017411,Weisse Rose,6843,2662373356,381966
