name,player_id,guild_name,guild_id,points_change,battles_change,points,battles
Currywurst die Scharfe,850684350,Frittenfett 3000,23913,0,0,45638476,55244
Ich der Andere,9074536,,,0,0,45615470,17763
eos200,5454498,Daron,10156,0,0,45603471,10077
ernstl71,10141099,,,0,0,45544707,10806
Messalina 6299 die Löwin,9136792,,,0,0,45509130,33951
foe die Spinne,8876719,Carolus Magnus,12592,83762,183,45497511,44243
Jacob Mühlherr,4140901,Runen der Zeit,5769,21635,11,45480378,17927
O.M.G,850172330,,,0,0,45449381,39409
nobby54,850972240,QuidProQuo,19849,0,0,45429974,13198
Marik23,852878575,,,0,0,45428233,31259
Annett I.,8698842,Krähennest,11372,22222,6,45412964,11666
Kahewolf,7038372,Freigeist,22,41663,20,45397594,21098
GlatzkoTV,9601542,,,0,0,45380725,37948
Seattle Seahawks,10056433,,,0,0,45371686,42555
ultibro,5175095,,,0,0,45362625,13559
WalBor,850317797,Ruhrpottler,1545,87843,78,45359907,44679
ElFuerte,851984255,Die Tavernenhocker,4833,168388,32,45346330,13082
Magnus der Düstere,851656201,,,0,0,45331428,49131
Raycel,4786393,DevilSoldiers,5082,0,0,45321386,11805
fRanK0n,6878638,,,0,0,45306802,28021
Rulls Deluxe,8860876,sternenhimmel,11152,0,0,45304641,11258
Hallderwall,6740706,Stachel,2072,0,0,45272427,13535
ringerwahn,8391246,meine ruhegilde,7674,17730,0,45259681,12168
Sir Ranzelot,2140489,,,0,0,45208242,15892
Sir Olfrian,5174889,,,0,0,45206257,37159
Nog out,9574595,Nixnix,19720,0,0,45181993,20951
Nebelkraehe610,1118685,Herz aus Gold,22417,175001,10,45153759,10693
MagicMac,8713110,MagicSkulls,12210,0,0,45146989,15749
Swefff,9685217,Die Unschuldigen,5642,75872,53,45143889,21484
Johanna die Größere,849364601,,,0,0,45124356,36724
Ameisenchef,850198079,Die Minititanen,7296,46947,33,45111466,37146
Azuras Stern,853199389,Dragon Riders,159,503048,478,45080219,54712
xxyyzzaa,850218141,Gilde1,5714,121537,13,45071772,11867
Joan 1177 die Gesegnete,852717889,Ü 50-OHNE PFLICHTEN,7652,0,0,45058929,21505
Luca of Smaragd,851700502,El Corazon,25461,0,0,45054231,14828
Der Pate 007,3308006,,,0,0,45035397,18881
Marksman1k,853230583,Dragon Riders,159,499267,440,45014132,54533
Mario4711,849063647,Adrenalin,17465,0,0,45004242,35437
Niciremos,849505879,,,0,0,44981579,31176
Elisabeth 7746 die Rote,10673460,ORAH,9453,32103,6,44974553,18303
Little Starfighter,6084019,Pause  🏖,22571,6472,74,44965010,115557
nightblack,853254787,✴ChillOut🔱,20520,20454,42,44943708,22754
werner566,3910595,,,0,0,44933839,23118
Natascha Juliszca,852861243,Dragon Riders,159,526297,14,44905545,26230
Trissie Merigold,9331440,Novigrad,13299,9464,14,44867990,69667
Melitta-Mann,2272379,,,0,0,44798046,19788
Westi65,4688266,Die Minititanen,7296,1633,5,44784507,124655
hwudo5,5685364,die doofen,6568,54795,0,44759168,12924
hansel 99,850118468,Easy Rider,16290,53776,136,44697946,18182
Admiral Adama,8332693,,,0,0,44671058,15236
Andree der grüne Daumen,852754519,Deutschritterorden,4859,37128,21,44642863,47053
Scorpion11King,6478421,,,0,0,44636879,43409
Ariadne 2110 die Spinne,852540611,😇Engel+Strategen🈲,60,218738,30,44580034,18136
Irgl,8636359,,,0,0,44558849,38058
Fauli0803,851000716,,,0,0,44550216,10467
BonnieDieHundekönigin,852261781,Siesta😎⛱️,25406,67308,110,44509819,79160
Dag Tackar,849178346,,,0,0,44505202,26748
djrobin1977,2344253,,,0,0,44493062,12529
StarShadow56,10153124,,,0,0,44465900,35098
JohnSmith76,5948003,,,0,0,44449705,14627
666666666666,849102020,Hippies,25429,0,0,44433688,49338
UnsuspectedStanding6,850647898,,,0,0,44413651,46001
Kickboarder,2598235,,,0,0,44401990,31883
Hektor17,852561897,Dragon Riders,159,105788,34,44386129,49611
hapunijarum,850378635,,,0,0,44323437,24935
-Kaban-,2453466,SGGK,22125,0,0,44297070,43709
Odin1111,663203,Why not,6932,-34769,6,44282042,12317
Markus 9973,849244242,White Roses,16376,0,0,44249883,14556
MadameLilly,433810,Di3 AND3R3N,1991,0,0,44238755,10139
müky,10444879,,,121665,0,44237144,21735
Foschi,850243763,Schwarze Rose,23267,84212,1,44224771,22191
Aranyos1990,851849701,☠️NeverNight☠️,10520,0,0,44170309,13760
Uli Martell,9746465,Vo dr Alb ra,15132,103744,28,44101839,34909
Marcus Aurelius III,851907327,,,0,0,44083486,34260
